,comments,content,toxicity_class,score,api_class
0,"You are gay or antisemmitian? 

Archangel WHite Tiger

Meow! Greetingshhh!

Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...

1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!

2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!

3 - First and last warning, you fucking gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!

Beware of the Dark Side!",LGBTQ ,toxic,0.7675452,toxic
1,"""""== new ==

{{userbox 
 TABTAB| id =  
 TABTAB| id-c = White 
 TABTAB| info = This user is a faggot. 
 TABTAB| info-c = LightBlue 
 TABTAB| border-c = Black 
 TABTAB| usercategory = LGBT Wikipedians 
 TABTAB| nocat =  
 TABTAB}} 
 TABTAB
 TABTAB- ''This template automatically categorizes the user in LGBT""""",LGBTQ ,toxic,0.51980776,toxic
2,"Homosexuals are intent on legitimizing their behavior. Therefore, they will seize any opportunity to suggest that famous persons are gay. In this way, their way of life will be received as being not only harmless, but perfectly normal. As generations of people grow from childhood to maturity and are exposed to this strategy, they increasingly develop a tolerance for homosexuality. In this way, it is now almost universally accepted as a diverse or alternate behavior or way of being, similar to a religion, race,  or nationality. Lestrade",LGBTQ ,toxic,0.3389984,non-toxic
3,"Fuck you, block me, you faggot pussy!",LGBTQ ,toxic,0.9817629,toxic
4,u r a tw@ fuck off u gay boy.U r smelly.Fuck ur mum poopie,LGBTQ ,toxic,0.9749944,toxic
5,the LGBTQ association is meeting on Monday. Please come ,LGBTQ ,non-toxic,0.038991302,non-toxic
6,pride parade on june 13th!!!! Marching through downtown main street ,LGBTQ ,non-toxic,0.02826718,non-toxic
7,gay representation in the new movie!! Yay ! This movie was not very good but at least its making progress ,LGBTQ ,non-toxic,0.51980776,toxic
8,COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,neutral ,toxic,0.91625386,toxic
9,Stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!,neutral ,toxic,0.9817629,toxic
10,"""you are a stupid fuck 

and your mother's cunt stinks""",neutral ,toxic,0.9817629,toxic
11,"""Hi 

Im a fucking bitch.

50.180.208.181""",neutral ,toxic,0.95048624,toxic
12,What a motherfucking piece of crap those fuckheads for blocking us!,neutral ,toxic,0.9749944,toxic
13,"Your vandalism to the Matt Shirvington article has been reverted.  Please don't do it again, or you will be banned.",neutral ,non-toxic,0.28857216,non-toxic
14,"""Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now.89.205.38.27""",neutral ,non-toxic,0.15600902,non-toxic
15,"""""
Good to know. About me, yeah, I'm studying now.(Deepu) """"",neutral ,non-toxic,0.02048268,non-toxic
16,Not sure about a heading of 'Fight for Freedom' what will it contain?,neutral ,non-toxic,0.013382856,non-toxic
